,site,trtmt,var,whatDoesNaMean? (didnotmeasure or 0 or doublecheck your data)
1,12 Mile ,CTL,tussock.treat,
2,12 Mile ,CTL,excrement,
3,12 Mile ,CTL,litter,
4,12 Mile ,CTL,nat.seedling.sp.y0,
5,12 Mile ,CTL,nat.seedling.count.y0,
6,12 Mile ,CTL,nat.seedling.sp.y1,
7,12 Mile ,CTL,nat.seedling.count.y1,
8,12 Mile ,CTL,nat.seedling.sp.y2,
9,12 Mile ,CTL,nat.seedling.count.y2,
10,12 Mile ,CTL,exp.seedling.dead,
11,12 Mile ,CTL,exp.seedling.missing,
12,12 Mile ,CTL,plot.photo,
13,12 Mile ,CTL,scar.photo,
14,12 Mile ,CTL,date.counted,
15,12 Mile ,CTL,comment,
16,12 Mile ,CTL,provenance,
66,12 Mile ,CTL,organic.depth,
162,12 Mile ,SC,tussock.treat,
163,12 Mile ,SC,excrement,
164,12 Mile ,SC,litter,
165,12 Mile ,SC,nat.seedling.sp.y0,
166,12 Mile ,SC,nat.seedling.count.y0,
167,12 Mile ,SC,nat.seedling.sp.y1,
168,12 Mile ,SC,nat.seedling.count.y1,
169,12 Mile ,SC,nat.seedling.sp.y2,
170,12 Mile ,SC,nat.seedling.count.y2,
171,12 Mile ,SC,exp.seedling.dead,
172,12 Mile ,SC,exp.seedling.missing,
173,12 Mile ,SC,plot.photo,
174,12 Mile ,SC,scar.photo,
175,12 Mile ,SC,date.counted,
176,12 Mile ,SC,comment,
177,12 Mile ,SC,provenance,
195,12 Mile ,SC,organic.depth,
325,12 Mile ,SD,tussock.treat,
326,12 Mile ,SD,excrement,
327,12 Mile ,SD,litter,
328,12 Mile ,SD,nat.seedling.sp.y0,
329,12 Mile ,SD,nat.seedling.count.y0,
330,12 Mile ,SD,nat.seedling.sp.y1,
331,12 Mile ,SD,nat.seedling.count.y1,
332,12 Mile ,SD,nat.seedling.sp.y2,
333,12 Mile ,SD,nat.seedling.count.y2,
334,12 Mile ,SD,exp.seedling.dead,
335,12 Mile ,SD,exp.seedling.missing,
336,12 Mile ,SD,plot.photo,
337,12 Mile ,SD,scar.photo,
338,12 Mile ,SD,date.counted,
339,12 Mile ,SD,comment,
340,12 Mile ,SD,provenance,
406,12 Mile ,SD,organic.depth,
488,12 Mile ,SS,tussock.treat,
489,12 Mile ,SS,excrement,
490,12 Mile ,SS,litter,
491,12 Mile ,SS,nat.seedling.sp.y0,
492,12 Mile ,SS,nat.seedling.count.y0,
493,12 Mile ,SS,nat.seedling.sp.y1,
494,12 Mile ,SS,nat.seedling.count.y1,
495,12 Mile ,SS,nat.seedling.sp.y2,
496,12 Mile ,SS,nat.seedling.count.y2,
497,12 Mile ,SS,exp.seedling.dead,
498,12 Mile ,SS,exp.seedling.missing,
499,12 Mile ,SS,plot.photo,
500,12 Mile ,SS,scar.photo,
501,12 Mile ,SS,date.counted,
502,12 Mile ,SS,comment,
503,12 Mile ,SS,provenance,
585,12 Mile ,SS,organic.depth,
649,Blowdown,CN,tussock.treat,
650,Blowdown,CN,excrement,
651,Blowdown,CN,other,
652,Blowdown,CN,nat.seedling.sp.y0,
653,Blowdown,CN,nat.seedling.sp.y1,
654,Blowdown,CN,nat.seedling.sp.y2,
655,Blowdown,CN,nat.seedling.count.y2,
656,Blowdown,CN,exp.seedling.count.y2,
