"site","country","primary.name","other.name","zone","transect","datum","start.utm.zone","start.utm.easting","start.utm.northing","start.elev","end.utm.zone","end.utm.easting","end.utm.northing","end.elev","coordinate.accuracy.in.m","site.photo","transect.photo","treeline.type","slope","aspect","closest.tree","closest.seed.tree","closest.stand.tree","date.seeded","sp.seeded","seeds.per.plot","seed.provenance.utm.zone","seed.provenance.utm.easting","seed.provenance.utm.northing","germination.success","dominant.tree","dominant.shrub","notes","MissingSeedlingsDetected","X"
"Blowdown","Canada","Andrew Trant","Brian Starzomski","AT",2,"NAD83","10U",559300,5579793,2186,"10U",559288,5579793,2185,"5","DSC_9121","","diffuse",49.5,"194",100,100,100,"20141006","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Blowdown","Canada","Andrew Trant","Brian Starzomski","T",1,"NAD83","10U",559219,5579577,2086,"10U",559198,5579577,2082,"5","DSC_","","diffuse",35,"194",14,14,30,"20141006","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Texas Creek","Canada","Andrew Trant","Brian Starzomski","AT",1,"NAD83","10U",571101,5587847,2302,"10U",571080,5587841,2300,"5","DSC_9211-13","","diffuse",40.5,"165",70,70,130,"20141007","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Texas Creek","Canada","Andrew Trant","Brian Starzomski","T",1,"NAD83","10U",571250,5587604,2167,"10U",571233,5587602,2165,"5","","","diffuse",41.2,"169",7,7,35,"20141007","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","AT",1.1,"WGS84","15V",450426,6512590,8,"15V",450445,6512581,8,"","","","diffuse",0,"flat",50,50,50,"20130926, 20140929","Picea glauca","50","15V","451077","6509172","GET","",NA,"Site name: TUN","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","AT",1.2,"WGS84","15V",450426,6512590,8,"15V",450445,6512581,8,"","","","diffuse",0,"flat",50,50,50,"20130926, 20140929","Picea mariana","50","15V","451077","6509172","","",NA,"Site name: TUN","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","T",2.1,"WGS84","15V",452045,6512164,11,"15V",452058,6512150,11,"","","","diffuse",0,"flat",1,1,1,"20130926, 20140929","Picea glauca","50","15V","451077","6509172","","",NA,"Site name: TIS","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","T",3.1,"WGS84","15V",451077,6509172,21,"15V",451060,6509189,21,"","","","diffuse",0,"flat",1,1,1,"20130926, 20140929","Picea glauca","50","15V","451077","6509172","","",NA,"Site name: RID","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","T",3.2,"WGS84","15V",451077,6509172,21,"15V",451060,6509189,21,"","","","diffuse",0,"flat",1,1,1,"20130926, 20140929","Picea mariana","50","15V","451077","6509172","","",NA,"Site name: RID","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","F",4.1,"WGS84","15V",453029,6497802,39,"15V",453048,6497802,39,"","","","diffuse",0,"flat",1,1,1,"20130926, 20140929","Picea glauca","50","15V","451077","6509172","","",NA,"Site name: WSU","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","F",4.2,"WGS84","15V",453029,6497802,39,"15V",453048,6497802,39,"","","","diffuse",0,"flat",1,1,1,"20130926, 20140929","Picea mariana","50","15V","451077","6509172","","",NA,"Site name: WSU","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","AT",1.1,"WGS84","8V",492738,6714216,1532,"8V",492748,6714199,1531,"","","","diffuse",6,"46",581,581,767,"20130902, 20140804","Abies lasiocarpa","50","11U, 10U","560516, 678738","5480403, 5910855","","",NA,"Site name: NALP","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","AT",1.2,"WGS84","8V",492738,6714216,1532,"8V",492748,6714199,1531,"","","","diffuse",6,"46",581,581,767,"20130902, 20140804","Picea glauca","100","8V","479130, 491157","6780887, 6708329","","",NA,"Site name: NALP","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","AT",1.3,"WGS84","8V",492738,6714216,1532,"8V",492748,6714199,1531,"","","","diffuse",6,"46",581,581,767,"20130902, 20140804","Pinus contorta","100","8V","491157","6708329","","",NA,"Site name: NALP","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","AT",2.1,"WGS84","8V",492662,6713052,1518,"8V",492678,6713041,1519,"","","","diffuse",9,"183",170,170,330,"20140805","Abies lasiocarpa","50","10U","678738","5910855","","",NA,"Site name: SALP","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","AT",2.2,"WGS84","8V",492662,6713052,1518,"8V",492678,6713041,1519,"","","","diffuse",9,"183",170,170,330,"20140805","Picea glauca","100","8V","491157","6708329","","",NA,"Site name: SALP","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","AT",2.3,"WGS84","8V",492662,6713052,1518,"8V",492678,6713041,1519,"","","","diffuse",9,"183",170,170,330,"20140805","Pinus contorta","100","8V","491157","6708329","","",NA,"Site name: SALP","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","T",3.1,"WGS84","8V",493401,6714460,1420,"8V",493414,6714445,1420,"","","","diffuse",15,"46",30,30,60,"20130902, 20140804","Abies lasiocarpa","50","11U, 10U","560516, 678738","5480403, 5910855","","",NA,"Site name: NCUT","",NA
"Wolf Creek","Canada","Steven Mamet","Jill Johnstone","T",3.2,"WGS84","8V",493401,6714460,1420,"8V",493414,6714445,1420,"","","","diffuse",15,"46",30,30,60,"20130902, 20140804","Picea glauca","100","8V","479130, 491157","6780887, 6708329","","",NA,"Site name: NCUT","",NA
