"site","zone","transect","plot","dist.on.transect","ID","treatment","herb.treat","tussock.treat","organic.depth","non.vascular","moss","lichen","mineral","organic","rock","shrub","excrement","forb","graminoid","vegetation..sum.of.shrub..gram..forb.","litter","other","total","nat.seedling.sp.y0","nat.seedling.count.y0","nat.seedling.sp.y1","nat.seedling.count.y1","nat.seedling.sp.y2","nat.seedling.count.y2","exp.seedling.sp","exp.seedling.count.y1","exp.seedling.count.y2","exp.seedling.count.y3","exp.seedling.dead","exp.seedling.missing","germ.y1","surv.yr1","germ.y2","surv.yr2","dead.yr2","surv.seedlings.yr2","tot.surv.yr2","germ.y3","surv.yr3","utm.zone","easting","northing","plot.photo","scar.photo","date.seeded","date.counted.yr1","date.counted.yr2","date.counted.yr3","comment","provenance","start.year","exp.duration"
"12 Mile","AT","1.0","1","0.10","","SS","nonex","","28.00","100","60","40","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","2","0.55","","SD","nonex","","20.00","80","80","0","0","10","0","0",NA,"0","0","0",NA,"10","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","3","1.15","","SC","nonex","","13.00","99","0","99","0","1","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","4","1.82","","SS","nonex","","13.00","100","5","95","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","5","2.49","","SD","nonex","","18.00","100","40","60","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","6","3.04","","CN","nonex","","23.00","90","80","10","0","10","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","7","3.60","","CN","nonex","","22.00","95","95","0","0","5","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","8","4.35","","SS","nonex","","20.00","95","95","0","0","5","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","9","4.69","","SS","nonex","","18.00","80","0","80","0","20","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","1.0","10","5.47","","SD","nonex","","14.00","95","80","15","0","5","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547241.0","7253504","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","11","6.19","","CN","nonex","","20.00","98","0","98","0","2","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","12","6.77","","SC","nonex","","8.00","99","0","99","0","1","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","13","7.19","","SS","nonex","","9.00","99","0","99","0","1","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","5","5","0","0","5",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","14","7.77","","SD","nonex","","9.00","90","0","90","0","10","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","15","8.16","","SC","nonex","","50.00","97","95","2","0","3","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","16","8.68","","SD","nonex","","29.00","100","30","70","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","17","9.59","","SC","nonex","","50.00","70","60","10","0","30","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","18","10.09","","SC","nonex","","16.00","100","5","95","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","19","11.06","","CN","nonex","","17.00","80","60","20","0","20","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
