"site","country","primary.name","other.name","zone","transect","datum","start.utm.zone","start.utm.easting","start.utm.northing","start.elev","end.utm.zone","end.utm.easting","end.utm.northing","end.elev","coordinate.accuracy.in.m","site.photo","transect.photo","treeline.type","slope","aspect","closest.tree","closest.seed.tree","closest.stand.tree","date.seeded","sp.seeded","seeds.per.plot","seed.provenance.utm.zone","seed.provenance.utm.easting","seed.provenance.utm.northing","germination.success","dominant.tree","dominant.shrub","notes","MissingSeedlingsDetected","X"
"Blowdown","Canada","Andrew Trant","Brian Starzomski","AT","2.0","NAD83","10U","559300.0","5579793","2186","10U","559288.0","5579793","2185","5","DSC_9121","","diffuse","49.50","194","100.0","100","100","20141006","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Blowdown","Canada","Andrew Trant","Brian Starzomski","T","1.0","NAD83","10U","559219.0","5579577","2086","10U","559198.0","5579577","2082","5","DSC_","","diffuse","35.00","194","14.0","14","30","20141006","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Texas Creek","Canada","Andrew Trant","Brian Starzomski","AT","1.0","NAD83","10U","571101.0","5587847","2302","10U","571080.0","5587841","2300","5","DSC_9211-13","","diffuse","40.50","165","70.0","70","130","20141007","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Texas Creek","Canada","Andrew Trant","Brian Starzomski","T","1.0","NAD83","10U","571250.0","5587604","2167","10U","571233.0","5587602","2165","5","","","diffuse","41.20","169","7.0","7","35","20141007","Abies lasiocarpa","100","11U","326498","5604504","45","ABLA, PIAL",NA,"Coast Mountains","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","AT","1.1","WGS84","15V","450426.0","6512590","8","15V","450445.0","6512581","8","","","","diffuse","0.00","flat","50.0","50","50","20130926, 20140929","Picea glauca","50","15V","451077","6509172","GET","",NA,"Site name: TUN","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","AT","1.2","WGS84","15V","450426.0","6512590","8","15V","450445.0","6512581","8","","","","diffuse","0.00","flat","50.0","50","50","20130926, 20140929","Picea mariana","50","15V","451077","6509172","","",NA,"Site name: TUN","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","T","2.1","WGS84","15V","452045.0","6512164","11","15V","452058.0","6512150","11","","","","diffuse","0.00","flat","1.0","1","1","20130926, 20140929","Picea glauca","50","15V","451077","6509172","","",NA,"Site name: TIS","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","T","3.1","WGS84","15V","451077.0","6509172","21","15V","451060.0","6509189","21","","","","diffuse","0.00","flat","1.0","1","1","20130926, 20140929","Picea glauca","50","15V","451077","6509172","","",NA,"Site name: RID","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","T","3.2","WGS84","15V","451077.0","6509172","21","15V","451060.0","6509189","21","","","","diffuse","0.00","flat","1.0","1","1","20130926, 20140929","Picea mariana","50","15V","451077","6509172","","",NA,"Site name: RID","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","F","4.1","WGS84","15V","453029.0","6497802","39","15V","453048.0","6497802","39","","","","diffuse","0.00","flat","1.0","1","1","20130926, 20140929","Picea glauca","50","15V","451077","6509172","","",NA,"Site name: WSU","",NA
"Churchill","Canada","Steven Mamet","Peter Kershaw, LeeAnn Fishback, Karen Harper","F","4.2","WGS84","15V","453029.0","6497802","39","15V","453048.0","6497802","39","","","","diffuse","0.00","flat","1.0","1","1","20130926, 20140929","Picea mariana","50","15V","451077","6509172","","",NA,"Site name: WSU","",NA
