"site","zone","transect","plot","dist.on.transect","ID","treatment","herb.treat","tussock.treat","organic.depth","non.vascular","moss","lichen","mineral","organic","rock","shrub","excrement","forb","graminoid","vegetation..sum.of.shrub..gram..forb.","litter","other","total","nat.seedling.sp.y0","nat.seedling.count.y0","nat.seedling.sp.y1","nat.seedling.count.y1","nat.seedling.sp.y2","nat.seedling.count.y2","exp.seedling.sp","exp.seedling.count.y1","exp.seedling.count.y2","exp.seedling.count.y3","exp.seedling.dead","exp.seedling.missing","germ.y1","surv.yr1","germ.y2","surv.yr2","dead.yr2","surv.seedlings.yr2","tot.surv.yr2","germ.y3","surv.yr3","utm.zone","easting","northing","plot.photo","scar.photo","date.seeded","date.counted.yr1","date.counted.yr2","date.counted.yr3","comment","provenance","start.year","exp.duration","subplot","uniquePlot","seedT","scarT","seeds.per.plot"
"12 Mile","AT",1,"1",0.1,"","SS","nonex","",28,100,60,40,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_1",1,1,769
"12 Mile","AT",1,"2",0.55,"","SD","nonex","",20,80,80,0,0,"10",0,0,NA,0,0,0,NA,10,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_2",1,0,769
"12 Mile","AT",1,"3",1.15,"","SC","nonex","",13,99,0,99,0,"1",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_3",0,1,769
"12 Mile","AT",1,"4",1.82,"","SS","nonex","",13,100,5,95,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_4",1,1,769
"12 Mile","AT",1,"5",2.49,"","SD","nonex","",18,100,40,60,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_5",1,0,769
"12 Mile","AT",1,"6",3.04,"","CN","nonex","",23,90,80,10,0,"10",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_6",0,0,769
"12 Mile","AT",1,"7",3.6,"","CN","nonex","",22,95,95,0,0,"5",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_7",0,0,769
"12 Mile","AT",1,"8",4.35,"","SS","nonex","",20,95,95,0,0,"5",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_8",1,1,769
"12 Mile","AT",1,"9",4.69,"","SS","nonex","",18,80,0,80,0,"20",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_9",1,1,769
"12 Mile","AT",1,"10",5.47,"","SD","nonex","",14,95,80,15,0,"5",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547241,7253504,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_1_10",1,0,769
"12 Mile","AT",2,"11",6.19,"","CN","nonex","",20,98,0,98,0,"2",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_11",0,0,769
